event_id,customer_id,timestamp_utc,amount_inr,payment_method,failure_reason,hour,weekday,customer_tenure_days,prior_successes,prior_failures,prior_recoveries,contacts_last_7_days,recent_method_failure_rate,degradation_flag,historical_action,action_delay_minutes,recovered_within_72_hours,recovered_amount_inr
1,459,2026-03-01 00:00:00.000000,535.1,debit_card,temporary_network_issue,0,6,17.7,3,2,1,1,0.136,1,LINK_AFTER_2H,147,1,471.99
2,233,2026-03-01 00:51:33.738748,1506.56,net_banking,temporary_network_issue,0,6,189.5,4,2,0,1,0.088,0,HUMAN_REVIEW,49,0,0.0
3,710,2026-03-01 01:43:07.477495,10119.84,debit_card,temporary_network_issue,1,6,103.4,2,0,0,0,0.164,0,HUMAN_REVIEW,108,1,8272.09
4,459,2026-03-01 02:34:41.216243,619.74,debit_card,insufficient_funds,2,6,17.7,3,2,1,2,0.143,0,LINK_NEXT_MORNING,663,0,0.0
5,710,2026-03-01 03:26:14.954991,4620.2,debit_card,card_blocked,3,6,103.4,2,0,0,1,0.135,0,NO_CONTACT,0,0,0.0
6,11,2026-03-01 04:17:48.693739,828.42,credit_card,risk_declined,4,6,55.1,2,1,0,0,0.267,0,LINK_AFTER_2H,132,0,0.0
7,459,2026-03-01 05:09:22.432486,1149.07,credit_card,risk_declined,5,6,17.7,3,2,1,0,0.073,0,NO_CONTACT,0,0,0.0
8,193,2026-03-01 06:00:56.171234,9954.65,net_banking,temporary_network_issue,6,6,318.6,1,3,0,1,0.154,0,LINK_NEXT_MORNING,593,0,0.0
9,257,2026-03-01 06:52:29.909982,1710.41,debit_card,bank_limit_exceeded,6,6,335.3,2,0,0,0,0.14,0,NO_CONTACT,0,0,0.0
10,11,2026-03-01 07:44:03.648730,1174.59,credit_card,bank_limit_exceeded,7,6,55.1,2,1,0,1,0.15,0,HUMAN_REVIEW,89,0,0.0
11,594,2026-03-01 08:35:37.387477,18816.04,debit_card,temporary_network_issue,8,6,29.0,3,1,0,3,0.079,0,LINK_NOW,19,0,0.0
12,193,2026-03-01 09:27:11.126225,750.76,credit_card,risk_declined,9,6,318.6,1,3,0,2,0.353,0,LINK_NOW,18,0,0.0
13,233,2026-03-01 10:18:44.864973,26126.22,debit_card,insufficient_funds,10,6,189.5,4,2,0,0,0.187,0,NO_CONTACT,0,0,0.0
14,459,2026-03-01 11:10:18.603721,3354.79,wallet,insufficient_funds,11,6,17.7,3,2,1,1,0.263,0,LINK_NEXT_MORNING,695,0,0.0
15,710,2026-03-01 12:01:52.342468,10072.61,debit_card,insufficient_funds,12,6,103.4,2,0,0,2,0.263,1,LINK_AFTER_2H,91,1,8818.57
16,148,2026-03-01 12:53:26.081216,1007.03,net_banking,risk_declined,12,6,30.5,1,1,0,0,0.379,0,NO_CONTACT,0,0,0.0
17,459,2026-03-01 13:44:59.819964,7875.49,net_banking,insufficient_funds,13,6,17.7,3,2,1,2,0.078,0,LINK_NOW,19,0,0.0
18,83,2026-03-01 14:36:33.558712,7271.56,debit_card,insufficient_funds,14,6,208.1,4,0,0,2,0.082,1,HUMAN_REVIEW,42,1,6721.68
19,459,2026-03-01 15:28:07.297459,1254.51,net_banking,insufficient_funds,15,6,17.7,3,2,1,0,0.213,0,NO_CONTACT,0,0,0.0
20,233,2026-03-01 16:19:41.036207,1579.46,debit_card,insufficient_funds,16,6,189.5,4,2,0,0,0.213,0,LINK_NEXT_MORNING,504,1,1503.83
21,193,2026-03-01 17:11:14.774955,403.01,debit_card,temporary_network_issue,17,6,318.6,1,3,0,2,0.131,0,LINK_AFTER_2H,146,1,393.09
22,594,2026-03-01 18:02:48.513703,687.42,upi,insufficient_funds,18,6,29.0,3,1,0,1,0.245,0,LINK_NEXT_MORNING,515,1,653.12
23,233,2026-03-01 18:54:22.252450,6511.95,net_banking,temporary_network_issue,18,6,189.5,4,2,0,2,0.105,0,LINK_AFTER_2H,92,0,0.0
24,58,2026-03-01 19:45:55.991198,2059.02,upi,insufficient_funds,19,6,17.4,3,0,1,0,0.172,0,LINK_AFTER_2H,136,1,2032.54
25,459,2026-03-01 20:37:29.729946,494.69,net_banking,insufficient_funds,20,6,17.7,3,2,1,0,0.132,0,LINK_NEXT_MORNING,619,0,0.0
26,459,2026-03-01 21:29:03.468694,4340.94,debit_card,risk_declined,21,6,17.7,3,2,1,1,0.157,0,LINK_AFTER_2H,149,0,0.0
27,71,2026-03-01 22:20:37.207441,12761.51,net_banking,bank_limit_exceeded,22,6,98.3,1,1,0,2,0.389,0,LINK_NOW,0,0,0.0
28,233,2026-03-01 23:12:10.946189,8872.18,net_banking,temporary_network_issue,23,6,189.5,4,2,0,1,0.139,0,LINK_NOW,27,0,0.0
29,71,2026-03-02 00:03:44.684937,9610.01,net_banking,insufficient_funds,0,0,98.3,1,1,0,0,0.286,0,LINK_AFTER_2H,100,0,0.0
30,193,2026-03-02 00:55:18.423685,251.43,upi,bank_limit_exceeded,0,0,318.6,1,3,0,1,0.22,0,LINK_NEXT_MORNING,560,1,228.98
31,219,2026-03-02 01:46:52.162432,4351.83,upi,temporary_network_issue,1,0,19.7,2,3,0,2,0.097,0,LINK_AFTER_2H,129,1,3876.45
32,193,2026-03-02 02:38:25.901180,264.32,credit_card,card_blocked,2,0,318.6,1,3,0,1,0.082,0,HUMAN_REVIEW,43,1,218.88
33,233,2026-03-02 03:29:59.639928,572.8,debit_card,temporary_network_issue,3,0,189.5,4,2,0,1,0.173,0,HUMAN_REVIEW,60,1,559.79
34,193,2026-03-02 04:21:33.378676,7849.42,net_banking,insufficient_funds,4,0,318.6,1,3,0,0,0.1,0,LINK_NOW,24,1,7632.5
35,459,2026-03-02 05:13:07.117423,3938.03,net_banking,card_blocked,5,0,17.7,3,2,1,2,0.164,1,LINK_NEXT_MORNING,676,0,0.0
36,233,2026-03-02 06:04:40.856171,12676.86,net_banking,card_blocked,6,0,189.5,4,2,0,1,0.057,0,LINK_NOW,14,0,0.0
37,193,2026-03-02 06:56:14.594919,2050.65,debit_card,temporary_network_issue,6,0,318.6,1,3,0,3,0.392,0,LINK_AFTER_2H,91,1,1786.16
38,710,2026-03-02 07:47:48.333667,11139.91,debit_card,insufficient_funds,7,0,103.4,2,0,0,0,0.161,0,LINK_AFTER_2H,149,0,0.0
39,594,2026-03-02 08:39:22.072414,3542.56,credit_card,risk_declined,8,0,29.0,3,1,0,0,0.139,0,LINK_NOW,6,1,2889.06
